# Mon Aug  7 18:39:03 2023
# Output created from within /home/erik/devel/projects/e21010/setup with the following command
# SAM -m ../matcher.json -dU1,U2,U3,U4,U5 
# Setup:              setup.json
# Target:             target.json
# Implantation depth: 71.0164 nm in target of thickness 142.033 nm
# Matcher:            ../matcher.json
# Solid angles of pixels of U1
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
0.00326586	0.00357081	0.00387417	0.00416416	0.00442698	0.00464786	0.0048127	0.0049099	0.00493222	0.00487795	0.00475122	0.00456128	0.00432102	0.00404503	0.00374785	0.00344253	# 4
0.00342754	0.0037589	0.00409017	0.00440833	0.00469792	0.0049422	0.00512502	0.00523304	0.00525787	0.00519752	0.00505678	0.00484635	0.00458102	0.00427745	0.00395203	0.00361931	# 5
0.00355777	0.00391109	0.0042657	0.00460757	0.0049198	0.00518396	0.00538213	0.0054994	0.00552637	0.00546082	0.00530812	0.00508023	0.00479364	0.00446678	0.00411766	0.00376207	# 6
0.00364924	0.00401834	0.00438982	0.00474888	0.00507761	0.00535631	0.00556572	0.00568979	0.00571834	0.00564897	0.00548748	0.00524681	0.0049447	0.00460091	0.00423462	0.00386255	# 7
0.00369646	0.00407382	0.00445415	0.00482227	0.00515971	0.0054461	0.00566147	0.00578914	0.00581853	0.00574713	0.00558098	0.00533354	0.00502323	0.00467051	0.00429519	0.00391447	# 8
0.00369646	0.00407382	0.00445415	0.00482227	0.00515971	0.0054461	0.00566147	0.00578914	0.00581853	0.00574713	0.00558098	0.00533354	0.00502323	0.00467051	0.00429519	0.00391447	# 9
0.00364924	0.00401834	0.00438982	0.00474888	0.00507761	0.00535631	0.00556572	0.00568979	0.00571834	0.00564897	0.00548748	0.00524681	0.0049447	0.00460091	0.00423462	0.00386255	# 10
0.00355777	0.00391109	0.0042657	0.00460757	0.0049198	0.00518396	0.00538213	0.0054994	0.00552637	0.00546082	0.00530812	0.00508023	0.00479364	0.00446678	0.00411766	0.00376207	# 11
0.00342754	0.0037589	0.00409017	0.00440833	0.00469792	0.0049422	0.00512502	0.00523304	0.00525787	0.00519752	0.00505678	0.00484635	0.00458102	0.00427745	0.00395203	0.00361931	# 12
0.00326586	0.00357081	0.00387417	0.00416416	0.00442698	0.00464786	0.0048127	0.0049099	0.00493222	0.00487795	0.00475122	0.00456128	0.00432102	0.00404503	0.00374785	0.00344253	# 13
0.00308093	0.00335684	0.00362974	0.0038892	0.00412319	0.00431902	0.00446467	0.00455038	0.00457004	0.00452223	0.0044104	0.00424235	0.00402898	0.00378278	0.00351629	0.00324097	# 14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 15
0.00267379	0.0028902	0.0031015	0.00329997	0.003477	0.00362377	0.00373215	0.00379561	0.00381014	0.00377479	0.00369184	0.00356645	0.00340594	0.00321884	0.00301398	0.00279966	# 16
# Solid angles of pixels of U5
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
0.00249809	0.00266965	0.00283295	0.00298218	0.00311126	0.0032143	0.00328621	0.00332317	0.00332317	0.00328621	0.0032143	0.00311126	0.00298218	0.00283295	0.00266965	0.00249809	# 1
0.00266965	0.00286178	0.00304558	0.0032143	0.00336083	0.00347819	0.00356028	0.00360254	0.00360254	0.00356028	0.00347819	0.00336083	0.0032143	0.00304558	0.00286178	0.00266965	# 2
0.00283295	0.00304558	0.00324992	0.00343832	0.00360254	0.00373448	0.00382699	0.00387468	0.00387468	0.00382699	0.00373448	0.00360254	0.00343832	0.00324992	0.00304558	0.00283295	# 3
0.00298218	0.0032143	0.00343832	0.00364565	0.00382699	0.0039731	0.00407575	0.00412875	0.00412875	0.00407575	0.0039731	0.00382699	0.00364565	0.00343832	0.0032143	0.00298218	# 4
0.00311126	0.00336083	0.00360254	0.00382699	0.00402388	0.0041829	0.00429483	0.00435268	0.00435268	0.00429483	0.0041829	0.00402388	0.00382699	0.00360254	0.00336083	0.00311126	# 5
