"Start time
(EDT)";"Duration";"Run no.";"Run type";"Beam";"Beam energy";"Target";"Shifters";"Comments (given at start of run,
if not otherwise specified)";"Triggers" 
"2023-06-28
00:49:52";"N/A";"071";"RUN";"22Al";"30 keV";"C";LS, EJ, LW;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
01:01:22";"N/A";"072";"RUN";"22Al";"30 keV";"C";LW, JSN;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
02:40:15";"3:08:41";"073";"RUN";"22Al";"30 keV";"C";LW, JSN;"Restarting after regaining access to
AU services. DAQ also crashed (?)
END-OF-RUN COMMENT BY LW, JSN:
Restarting after regaining access to
AU services. DAQ also crashed (?)";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
05:49:40";"2:22:46";"074";"RUN";"22Al";"30 keV";"C";LW, JSN;"Restarting run after 3 hours without
incident
END-OF-RUN COMMENT BY LW,
JSN: Restarting run after 3 hours
without incident";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
08:13:09";"4:27:35";"075";"CALIBRATION";"Background";"-";"-";LW, JSN;"Beginning to switch beams
END-OF-RUN
COMMENT BY LW, JSN: Beginning to
switch beams";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
12:41:42";"0:05:34";"076";"RUN";"28P";"30 keV";"C";LW, JSN;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
12:47:42";"1:26:46";"077";"CALIBRATION";"Background";"-";"-";LW, JSN;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
14:14:57";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ;"IN-BETWEEN-RUN COMMENT: stopping
background run to optimise trigger
thresholds (and maybe ADC
thresholds)";" " 
"2023-06-28
15:08:32";"1:38:31";"078";"CALIBRATION";"Background";"-";"-";HF, MM, CW, EJ, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
16:47:14";"0:25:21";"079";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
17:12:54";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ, JD;"IN-BETWEEN-RUN COMMENT: Pure 26P --
mass 26 -- in run 079";" " 
"2023-06-28
17:13:52";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ, JD;"IN-BETWEEN-RUN COMMENT: 26P oxide --
mass 42 -- up next";"" 
"2023-06-28
17:15:59";"0:03:27";"080";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
17:19:58";"0:19:11";"081";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
17:41:34";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ, JD;"IN-BETWEEN-RUN COMMENT: previous run
was PO (mass 42), next run will be
PO2 (mass 58)";" " 
"2023-06-28
17:44:33";"0:10:39";"082";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
17:56:48";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ, JD;"IN-BETWEEN-RUN COMMENT: going back
to PO (highest rate) while we assess
the purity (25Si contamination risk)
in offline analyses";" " 
"2023-06-28
18:00:48";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ, JD;"IN-BETWEEN-RUN COMMENT: scrath that
-- we are doing SiO2 (mass 57) to
have an actual signature of a
potential contaminant. for 10
minutes.";"" 
"2023-06-28
18:01:07";"0:05:15";"083";"RUN";"25Si";"30 keV";"C";HF, MM, CW, EJ, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
18:06:45";"N/A";" ";" ";"-";"-";"-";HF, MM, CW, EJ, JD;"IN-BETWEEN-RUN COMMENT: NOW we go
back to PO (highest rate) while we
assess the purity (25Si
contamination risk) in offline
analyses";" " 
"2023-06-28
18:10:44";"0:01:04";"084";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, LS;"PO mass 42
END-OF-RUN COMMENT BY HF,
MM, CW, EJ, LS: PO mass 42";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
18:11:54";"0:11:08";"085";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, LS;"PO mass 42";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
18:23:10";"1:18:12";"086";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, LS;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
19:41:29";"1:16:01";"087";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, LS;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
20:57:40";"1:18:48";"088";"RUN";"26P";"30 keV";"C";HF, MM, CW, EJ, LS;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-28
22:16:39";"1:48:24";"089";"RUN";"26P";"30 keV";"C";HF, MM, JSN;"EXTRA COMMENT 108.3 MINUTES INTO RUN
BY HF, MM, JSN: From 21:30 to 00:00
on June 29th (EDT time zone) trigger
rates in U1 and U2 continually got
larger to the point where it leaked
into our accepted trigger rates.
It
has sorted itself out, seemingly,
around 00:00. Should keep an eye on
it
END-OF-RUN COMMENT BY HF, MM,
JSN: From 21:30 to 00:00 on June
29th (EDT time zone) trigger rates
in U1 and U2 continually got larger
to the point where it leaked into
our accepted trigger rates.
It has
sorted itself out, seemingly, around
00:00. Should keep an eye on it";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
00:05:09";"N/A";"090";"RUN";"26P";"30 keV";"C";HF, MM, JSN;"From 21:30 to 00:00 on June 29th
(EDT time zone) trigger rates in U1
and U2 continually got larger to the
point where it leaked into our
accepted trigger rates.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
02:17:25";"0:47:57";"091";"RUN";"26P";"30 keV";"C";LW, LS, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
03:06:03";"N/A";" ";" ";"-";"-";"-";LW, LS, EJ;"IN-BETWEEN-RUN COMMENT: beam control
having a bit of trouble with one of
their dipoles. 'will be just a few
minutes'";" " 
"2023-06-29
03:24:56";"2:02:15";"092";"RUN";"26P";"30 keV";"C";LW, LS, EJ;"EXTRA COMMENT 3.5 MINUTES INTO RUN
BY LW, LS, EJ: beam is back";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
05:27:19";"N/A";"093";"RUN";"26P";"30 keV";"C";LW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
06:14:29";"0:59:22";"094";"RUN";"26P";"30 keV";"C";LW, EJ;"brief daq outage";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
07:14:00";"1:13:45";"095";"RUN";"26P";"30 keV";"C";LW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
08:28:02";"0:02:31";"096";"RUN";"26P";"30 keV";"C";JSN, JD;"Starting new run after 75 min";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
08:32:01";"1:15:01";"097";"RUN";"26P";"30 keV";"C";JSN, JD;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
09:53:56";"1:05:02";"098";"RUN";"25Si";"30 keV";"C";JSN, JD, HF, CW;"Taking mass 57 (25Si + 2*O) for
background measurement
END-OF-RUN
COMMENT BY JSN, JD, HF, CW: Taking
mass 57 (25Si + 2*O) for background
measurement";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
10:59:08";"1:00:01";"099";"RUN";"25Si";"30 keV";"C";JSN, JD, HF, CW;"Taking mass 57 (25Si + 2*O) for
background measurement
END-OF-RUN
COMMENT BY JSN, JD, HF, CW: Taking
mass 57 (25Si + 2*O) for background
measurement";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
11:59:21";"1:00:01";"100";"RUN";"25Si";"30 keV";"C";JSN, JD, HF, CW;"Taking mass 57 (25Si + 2*O) for
background measurement
END-OF-RUN
COMMENT BY JSN, JD, HF, CW: Taking
mass 57 (25Si + 2*O) for background
measurement";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
12:59:30";"0:55:04";"101";"RUN";"25Si";"30 keV";"C";JSN, JD, HF, CW;"Taking mass 57 (25Si + 2*O) for
background measurement
END-OF-RUN
COMMENT BY JSN, JD, HF, CW: Ending
25Si run";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
14:05:14";"0:57:34";"102";"RUN";"27S";"30 keV";"C";JSN, JD, HF, CW;"Taking 27S at mass 43
END-OF-RUN
COMMENT BY JSN, JD, HF, CW: Taking
27S at mass 43";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
15:07:30";"1:05:51";"103";"RUN";"26P";"30 keV";"C";JSN, JD, HF, CW;"Back to taking 26P at mass 42
END-
OF-RUN COMMENT BY JSN, JD, HF, CW:
Back to taking 26P at mass 42";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
16:13:46";"1:02:26";"104";"RUN";"26P";"30 keV";"C";JSN, JD, HF, CW;"Restarting file to do yield analysis
END-OF-RUN COMMENT BY JSN, JD, HF,
CW: Restarting file to do yield
analysis";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
17:16:21";"1:05:13";"105";"RUN";"26P";"30 keV";"C";JSN, JD, HF, CW;"Restarting file to do yield analysis
END-OF-RUN COMMENT BY JSN, JD, HF,
CW: Restarting file to do yield
analysis";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
18:21:41";"1:00:02";"106";"RUN";"26P";"30 keV";"C";JSN, JD, HF, CW;"Restarting file to do yield analysis";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
19:21:52";"1:00:01";"107";"RUN";"26P";"30 keV";"C";HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
20:22:02";"1:00:06";"108";"RUN";"26P";"30 keV";"C";HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
21:22:16";"1:00:02";"109";"RUN";"26P";"30 keV";"C";HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
22:22:25";"1:00:02";"110";"RUN";"26P";"30 keV";"C";HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
23:22:34";"N/A";"111";"RUN";"26P";"30 keV";"C";HF;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
23:48:25";"N/A";" ";" ";"-";"-";"-";HF;"IN-BETWEEN-RUN COMMENT: previous run
not gracefully stopped due to vpn
drop";" " 
"2023-06-29
23:48:36";"N/A";" ";" ";"-";"-";"-";HF;"IN-BETWEEN-RUN COMMENT: previous run
not gracefully stopped due to vpn
drop -- run 111";"" 
"2023-06-29
23:48:39";"0:02:11";"112";"RUN";"26P";"30 keV";"C";HF;"EXTRA COMMENT 0.2 MINUTES INTO RUN
BY AA, TW, EJ: .";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-29
23:50:57";"1:13:12";"113";"RUN";"26P";"30 keV";"C";AA, TW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
01:04:17";"1:07:20";"114";"RUN";"26P";"30 keV";"C";AA, TW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
02:11:52";"1:11:25";"115";"RUN";"26P";"30 keV";"C";LW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
03:23:28";"0:58:50";"116";"RUN";"26P";"30 keV";"C";LW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
04:22:43";"1:10:30";"117";"RUN";"26P";"30 keV";"C";LW, EJ;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
05:33:21";"1:14:01";"118";"RUN";"26P";"30 keV";"C";LW, EJ;"END-OF-RUN COMMENT BY LW, EJ: final
radioactive beam of the experiment.
measuring on the beam off part as
well. Friday June 30th at 6:45 am
beam is off";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
08:22:49";"N/A";"119";"CALIBRATION";"Background";"-";"-";HF, EJ;"Background, only with germanium
trigger. Foil removed from chamber";"HPGE(0)" 
"2023-06-30
08:25:09";"1:01:02";"120";"CALIBRATION";"Background";"-";"-";HF, EJ;"Background, only with germanium
trigger. Foil removed from chamber
EXTRA COMMENT 0.2 MINUTES INTO RUN
BY HF, EJ: Run 119 is bad";"HPGE(0)" 
"2023-06-30
10:02:14";"1:28:49";"121";"CALIBRATION";"152Eu";"-";"HPGES";HF, EJ;"152Eu efficiency calibration. Placed
as close to implantation point as
possible
END-OF-RUN COMMENT BY HF,
EJ: 152Eu efficiency calibration.
Placed as close to implantation
point as possible";"HPGE(0)" 
"2023-06-30
11:56:16";"0:36:30";"122";"CALIBRATION";"226Ra";"-";"HPGES";JSN, JD, EJ;"226Ra gamma calibration
END-OF-RUN
COMMENT BY JSN, JD, EJ: 226Ra gamma
calibration";"HPGE(0)" 
"2023-06-30
12:58:05";"0:03:27";"123";"PULSER";"-";"-";"Silicons";JSN, JD, EJ, HF;"ramping pulser sequence from 'zero'
to ADC channel 700~1000
END-OF-RUN
COMMENT BY JSN, JD, EJ, HF: ramping
pulser sequence from 'zero' to ADC
channel 700~1000";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-30
13:41:59";"0:15:05";"124";"CALIBRATION";"3a";"-";"U6";JSN, JD, LS, AA, HF;"3a source calibration of U6
END-OF-
RUN COMMENT BY JSN, JD, LS, AA, HF:
3a source calibration of U6";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
13:57:54";"0:08:32";"125";"CALIBRATION";"3a";"-";"U3, U4";JSN, JD, LS, AA, HF;"3a source calibration of U3,U4
END-
OF-RUN COMMENT BY JSN, JD, LS, AA,
HF: 3a source calibration of U3,U4";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
14:06:44";"0:25:36";"126";"CALIBRATION";"3a";"-";"U3, U4";JSN, JD, LS, AA, HF;"3a source calibration of U3,U4,
restart because stopped writing to
file
END-OF-RUN COMMENT BY JSN, JD,
LS, AA, HF: 3a source calibration of
U3,U4, restart because stopped
writing to file";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
14:32:52";"N/A";"127";"CALIBRATION";"3a";"-";"U5";JSN, JD, LS, AA, HF;"3a source calibration of U5
EXTRA
COMMENT 10.9 MINUTES INTO RUN BY
JSN, JD, LS, AA, HF: 3a source
calibration of U5";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-30
14:51:41";"0:18:32";"128";"CALIBRATION";"3a";"-";"U1, U2";JSN, JD, LS, AA, HF;"3a source calibration of U1, U2
END-
OF-RUN COMMENT BY JSN, JD, LS, AA,
HF: 3a source calibration of U1, U2";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-07-01
09:55:54";"0:08:35";"129";"CALIBRATION";"3a";"-";"P1, P2";JSN, HF, EJ;"3a source calibration of P1, P2
END-
OF-RUN COMMENT BY JSN, HF, EJ: 3a
source calibration of P1, P2";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-07-01
10:06:01";"0:07:14";"130";"CALIBRATION";"3a";"-";"P3, P4";JSN, HF, EJ;"3a source calibration of P3, P4
END-
OF-RUN COMMENT BY JSN, HF, EJ: 3a
source calibration of P3, P4";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-07-01
11:08:39";"0:07:00";"131";"CALIBRATION";"3a";"-";"P6";JSN, HF, EJ;"3a source calibration of P6
END-OF-
RUN COMMENT BY JSN, HF, EJ: 3a
source calibration of P6";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
